Karyl V Encounters:
Karyl V (Lord Vance), Edmure T (Edmure), 844757, "to the Rock, demanding that Lord Tywin proclaim his intent, but he has had no answer. Edmure has commanded Lord Vance"
Karyl V (Lord Vance), Tywin L (Tywin), 844757, "to the Rock, demanding that Lord Tywin proclaim his intent, but he has had no answer. Edmure has commanded Lord Vance"
Marq P (Lord Piper), Karyl V (Lord Vance), 844772, "demanding that Lord Tywin proclaim his intent, but he has had no answer. Edmure has commanded Lord Vance and Lord Piper"
Karyl V (Ser Karyl), Catelyn S (Catelyn), 911958, "a fast friend of Catelyn�s brother, Edmure Tully.  �Every man among them was mounted and mailed, my lord,� Ser Karyl"
Karyl V (Ser Karyl), Edmure T (Edmure Tully), 911958, "a fast friend of Catelyn�s brother, Edmure Tully.  �Every man among them was mounted and mailed, my lord,� Ser Karyl"
Karyl V (Ser Karyl), Gregor C (Mountain), 914260, "was Ser Gregor. There are many large men in the realm.�  �As large as the Mountain That Rides?� Ser Karyl"
Raymun D (Raymun), Karyl V (Ser Karyl), 914326, "as the Mountain That Rides?� Ser Karyl said. �I have never met one.�  �Nor has any man here,� Ser Raymun"
Karyl V (Ser Karyl), Marq P (Ser Marq), 915623, "stones.  At the council table below, Petyr Baelish lost interest in his quill and leaned forward. �Ser Marq, Ser Karyl"
Karyl V (Ser Karyl), Petyr B (Petyr Baelish), 915623, "stones.  At the council table below, Petyr Baelish lost interest in his quill and leaned forward. �Ser Marq, Ser Karyl"
Raymun D (Raymun), Karyl V (Ser Karyl), 915635, "At the council table below, Petyr Baelish lost interest in his quill and leaned forward. �Ser Marq, Ser Karyl, Ser Raymun"
Marq P (Ser Marq), Karyl V (Karyl Vance), 915895, "Ser Karyl Vance answered. �I was attending my lord father in the pass below the Golden Tooth, as was Ser Marq"
Karyl V (Ser Karyl), Edmure T (Ser Edmure), 916683, "hotly.  �Ser Edmure has sent men to every village and holdfast within a day�s ride of the border,� Ser Karyl"
Karyl V (Lord Vance), Edmure T (Edmure), 1184845, "fortnight past, they fought a battle in the hills below the Golden Tooth,� Robb said. �Uncle Edmure had sent Lord Vance"
Karyl V (Lord Vance), Robb S (Robb), 1184845, "fortnight past, they fought a battle in the hills below the Golden Tooth,� Robb said. �Uncle Edmure had sent Lord Vance"
Marq P (Lord Piper), Karyl V (Lord Vance), 1184860, "fought a battle in the hills below the Golden Tooth,� Robb said. �Uncle Edmure had sent Lord Vance and Lord Piper"
Jaime L (Kingslayer), Karyl V (Lord Vance), 1184897, "the Golden Tooth,� Robb said. �Uncle Edmure had sent Lord Vance and Lord Piper to hold the pass, but the Kingslayer"
Karyl V (Lord Vance), Jaime L (Kingslayer), 1184950, "Vance and Lord Piper to hold the pass, but the Kingslayer descended on them and put them to flight. Lord Vance"
Karyl V (Lord Vance), Marq P (Lord Piper), 1184950, "Vance and Lord Piper to hold the pass, but the Kingslayer descended on them and put them to flight. Lord Vance"
Marq P (Lord Piper), Karyl V (Lord Vance), 1185002, "descended on them and put them to flight. Lord Vance was slain. The last word we had was that Lord Piper"
Karyl V (Karyl), Marq P (Marq Piper), 1205891, "have a mind to make yourself of use, I will give you a command,� his father said. �Marq Piper and Karyl"
Tyrion L (Tyrion), Karyl V (Karyl Vance), 1205968, "father said. �Marq Piper and Karyl Vance are loose in our rear, raiding our lands across the Red Fork.�  Tyrion"
Karyl V (Karyl), Bryce C (Caron), 1217603, "Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl"
Karyl V (Karyl), Jason M (Jason Mallister), 1217603, "Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl"
Karyl V (Karyl), Stevron F (Stevron), 1217603, "Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl"
Karyl V (Karyl), Tytos B (Tytos Blackwood), 1217603, "Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl"
Karyl V (Karyl), Walder F (Walder Frey), 1217603, "Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl"
Jonos B (Jonos), Karyl V (Karyl Vance), 1217621, "Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl Vance. Lord Jonos"
Shella W (Shella), Karyl V (Karyl Vance), 1217642, "the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl Vance. Lord Jonos Bracken. Lady Shella"
Marq P (Ser Marq), Karyl V (Karyl Vance), 1559924, "the Trident, drawing them back. Karyl Vance came in, a lord now, his father dead beneath the Golden Tooth. Ser Marq"
