Viserys T Encounters:
Viserys T (Viserys), Illyrio M (Magister Illyrio), 48545, "soft. It frightened her. She pulled her hand away. �Is it really mine?�  �A gift from the Magister Illyrio,� Viserys"
Viserys T (Viserys), Illyrio M (Illyrio), 49202, "that such gifts seldom come without their price, here in the free city of Pentos.  �Illyrio is no fool,� Viserys"
Illyrio M (Illyrio), Viserys T (Viserys), 50011, "a terrible thing when roused. Viserys called it �waking the dragon.�  Her brother hung the gown beside the door. �Illyrio"
Robert B (Usurper), Viserys T (Viserys), 52460, "her. Viserys had been a boy of eight when they fled King�s Landing to escape the advancing armies of the Usurper"
Robert B (Usurper), Viserys T (Viserys), 52888, "the Trident and dying for the woman he loved. The sack of King�s Landing by the ones Viserys called the Usurper"
Elia M (Princess Elia), Viserys T (Viserys), 52941, "loved. The sack of King�s Landing by the ones Viserys called the Usurper�s dogs, the lords Lannister and Stark. Princess Elia"
Rhaegar T (Rhaegar), Viserys T (Viserys), 52980, "the ones Viserys called the Usurper�s dogs, the lords Lannister and Stark. Princess Elia of Dorne pleading for mercy as Rhaegar"
Robert B (Usurper), Viserys T (Viserys), 53724, "brother Viserys had never forgiven her.  She did not remember Dragonstone either. They had run again, just before the Usurper"
Daenerys T (Daenerys), Viserys T (Viserys), 56054, "Seven Kingdoms, all they have taken from us, we will have it back.� Viserys lived for that day. All that Daenerys"
Viserys T (Viserys), Daenerys T (Daenerys), 57734, "rider ever to mount a horse, a demon archer. Daenerys said nothing. She had always assumed that she would wed Viserys"
Viserys T (Viserys), Drogo (Drogo), 60242, "�She is a vision, Your Grace, a vision,� he told her brother. �Drogo will be enraptured.�  �She�s too skinny,� Viserys"
Daenerys T (Dany), Viserys T (Viserys), 61992, "sea. �We won�t need his whole khalasar,� Viserys said. His fingers toyed with the hilt of his borrowed blade, though Dany"
Illyrio M (Magister Illyrio), Viserys T (Viserys), 64589, "almost as frightened as she felt. �Insolent eunuch,� Viserys muttered as the palanquin lurched up toward the manse.  Magister Illyrio"
Viserys T (Viserys), Robert B (Usurper), 64827, "guests, yourself chief among them, Your Grace. No doubt the Usurper would pay well for your head.�  �Oh, yes,� Viserys"
Illyrio M (Illyrio), Viserys T (Viserys), 64863, "Grace. No doubt the Usurper would pay well for your head.�  �Oh, yes,� Viserys said darkly. �He has tried, Illyrio"
Viserys T (Viserys), Drogo (Khal Drogo), 70931, "Khal Drogo over to where they stood. She brushed away unfallen tears with the back of her hand.  �Smile,� Viserys"
Viserys T (Viserys), Daenerys T (Dany), 186467, "Jorah Mormont jested. The exile had offered her brother his sword the night Dany had been sold to Khal Drogo; Viserys"
Viserys T (Viserys), Drogo (Khal Drogo), 186467, "Jorah Mormont jested. The exile had offered her brother his sword the night Dany had been sold to Khal Drogo; Viserys"
Viserys T (Viserys), Jorah M (Jorah Mormont), 186467, "Jorah Mormont jested. The exile had offered her brother his sword the night Dany had been sold to Khal Drogo; Viserys"
Illyrio M (Magister Illyrio), Viserys T (Viserys), 186561, "had been sold to Khal Drogo; Viserys had accepted eagerly. Mormont had been their constant companion ever since.  Magister Illyrio"
Viserys T (Viserys), Illyrio M (Magister Illyrio), 186615, "accepted eagerly. Mormont had been their constant companion ever since.  Magister Illyrio laughed lightly through his forked beard, but Viserys"
Robert B (Usurper), Viserys T (Viserys), 187294, "Dothrak. After that, perhaps. If the omens favor war.�  Viserys seethed with impatience. �I piss on Dothraki omens. The Usurper"
Viserys T (Viserys), Daenerys T (Dany), 189934, "fine wines, and spat jests at each other across the fires, their voices harsh and alien in Dany�s ears.  Viserys"
Illyrio M (Illyrio), Viserys T (Viserys), 190040, "Viserys was seated just below her, splendid in a new black wool tunic with a scarlet dragon on the chest. Illyrio"
Drogo (Khal Drogo), Viserys T (Viserys), 190810, "her best to hide them, knowing how angry Viserys would be if he saw her crying, terrified of how Khal Drogo"
Daenerys T (Dany), Viserys T (Viserys), 194877, "leave her. She hugged herself to try to keep from shaking.  Her brother Viserys gifted her with three handmaids. Dany"
Illyrio M (Illyrio), Viserys T (Viserys), 194917, "to keep from shaking.  Her brother Viserys gifted her with three handmaids. Dany knew they had cost him nothing; Illyrio"
Irri (Irri), Viserys T (Viserys), 194955, "Viserys gifted her with three handmaids. Dany knew they had cost him nothing; Illyrio no doubt had provided the girls. Irri"
Daenerys T (Dany), Viserys T (Viserys), 201561, "bring forth his own horse, a lean red stallion. As the khal was saddling the horse, Viserys slid close to Dany"
Viserys T (Viserys), Irri (Irri), 434978, "climbing the ridge below them. Her handmaid Irri and the young archers of her khas were fluid as centaurs, but Viserys"
Viserys T (Viserys), Illyrio M (Magister Illyrio), 435209, "have come. Magister Illyrio had urged him to wait in Pentos, had offered him the hospitality of his manse, but Viserys"
Drogo (Drogo), Viserys T (Viserys), 435257, "Pentos, had offered him the hospitality of his manse, but Viserys would have none of it. He would stay with Drogo"
Illyrio M (Illyrio), Viserys T (Viserys), 435489, "to his sorrow what it means to wake the dragon,� Viserys had vowed, laying a hand on his borrowed sword. Illyrio"
Daenerys T (Dany), Viserys T (Viserys), 435544, "had vowed, laying a hand on his borrowed sword. Illyrio had blinked at that and wished him good fortune.  Dany"
Viserys T (Viserys), Daenerys T (Dany), 435863, "each breath of wind, the air was warm on her face, and Dany felt at peace. She would not let Viserys"
Daenerys T (Dany), Viserys T (Viserys), 435892, "was warm on her face, and Dany felt at peace. She would not let Viserys spoil it.  �Wait here,� Dany"
Jorah M (Ser Jorah), Viserys T (Viserys), 435907, "her face, and Dany felt at peace. She would not let Viserys spoil it.  �Wait here,� Dany told Ser Jorah"
