Jyck Encounters:
Morrec (Morrec), Jyck (Jyck), 394493, "far north,� the Lord Commander told him as they drank.  �I have Jyck and Morrec"
Tyrion L (Tyrion), Jyck (Jyck), 394502, "north,� the Lord Commander told him as they drank.  �I have Jyck and Morrec,� Tyrion"
Yoren (Yoren), Jyck (Jyck), 394519, "Commander told him as they drank.  �I have Jyck and Morrec,� Tyrion said, �and Yoren"
Jyck (Jyck), Tyrion L (Tyrion), 632256, "and the fat innkeep shrieking, �No swords, not here, please, m�lords.�  Tyrion wrenched down Jyck"
Jyck (Jyck), Tyrion L (Tyrion), 633677, "doing. Against that, what did Tyrion have? A dagger at his belt, and two men. Jyck"
Morrec (Morrec), Jyck (Jyck), 633715, "A dagger at his belt, and two men. Jyck swung a fair enough sword, but Morrec"
Jyck (Jyck), Bronn (Bronn), 634145, "said, �Take their weapons,� and the sellsword Bronn stepped forward to pull the sword from Jyck"
Morrec (Morrec), Jyck (Jyck), 641339, "grazing on clumps of brown grass that grew from clefts in the rock. Jyck and Morrec"
Jyck (Jyck), Rodrik C (Ser Rodrik), 648742, "snapped, �Arm them,� and as quick as that she was pulling away. Ser Rodrik tossed Jyck"
Morrec (Morrec), Jyck (Jyck), 648802, "away. Ser Rodrik tossed Jyck his sword and scabbard, and wheeled to meet the foe. Morrec"
Tyrion L (Tyrion), Jyck (Jyck), 651153, "traded blow for blow. Jyck vaulted onto a horse and galloped bareback into the fray. Tyrion"
Jyck (Jyck), Tyrion L (Tyrion), 653114, "man�s halfhelm. It fit too snugly, but Tyrion was glad of any protection at all. Jyck"
Jyck (Jyck), Bronn (Bronn), 654720, "have moved at all.  �Your first battle?� Bronn asked later as he bent over Jyck"
Jyck (Jyck), Jonos B (Lord Bracken), 656331, "only three dead; two of Lord Bracken�s men-at-arms, Kurleket and Mohor, and his own man Jyck"
Jyck (Jyck), Tyrion L (Tyrion), 657634, "at once.�  There was no shortage of horses now. Tyrion moved his saddle to Jyck"
Jyck (Jyck), Morrec (Morrec), 1202873, "blood was actually shed, although it was a close thing once or twice. Morrec and Jyck"
