Timett Encounters:
Timett (Timett), Conn (Conn), 1194032, "me, and Shagga and Conn for the Stone Crows, Ulf for the Moon Brothers, and Timett"
Timett (Timett), Shagga (Shagga), 1194032, "me, and Shagga and Conn for the Stone Crows, Ulf for the Moon Brothers, and Timett"
Timett (Timett), Bronn (Bronn), 1195925, "sellsword had tugged at his crotch � but even Bronn kept a respectful tongue around Timett"
Kevan L (Kevan), Timett (Timett), 1208567, "announced Timett son of Timett, who had yet to see his twentieth year.  Ser Kevan"
Bronn (Bronn), Timett (Timett), 1209288, "here Timett son of Timett, a red hand of the Burned Men. And this is Bronn"
Timett (Timett), Shagga (Shagga), 1209908, "strongholds, my lords?�  �Horses,� said Shagga.  �A promise of silk and steel,� said Timett"
Tyrion L (Tyrion), Timett (Timett), 1209931, "said Shagga.  �A promise of silk and steel,� said Timett son of Timett.  Tyrion"
Timett (Timett), Tyrion L (Tyrion), 1212093, "them.�  Oh, deftly done, Tyrion thought, smiling crookedly.  �The Burned Men fear nothing. Timett"
Timett (Timett), Shagga (Shagga), 1361145, "they were yanking arrows out of Shagga, and showed them four ears she had taken. Timett"
Timett (Timett), Shagga (Shagga), 1515352, "women, they may take what they want and burn the rest.�  �Telling Shagga and Timett"
Tyrion L (Tyrion), Timett (Timett), 1515414, "�Telling Shagga and Timett how to pillage is like telling a rooster how to crow,� Tyrion"
