Sansa S Encounters:
Sansa S (Sansa), Arya S (Arya), 40843, "her, but she did her best to ignore them. �Arya is already in love, and Sansa"
Rickon S (Rickon), Sansa S (Sansa), 40879, "to ignore them. �Arya is already in love, and Sansa is charmed and gracious, but Rickon"
Eddard S (Ned), Sansa S (Sansa), 40920, "Sansa is charmed and gracious, but Rickon is not quite sure.�  �Is he afraid?� Ned"
Sansa S (Sansa), Joffrey B (Joff), 90528, "not too late. I have a son. You have a daughter. My Joff and your Sansa"
Lyanna (Lyanna), Sansa S (Sansa), 90561, "son. You have a daughter. My Joff and your Sansa shall join our houses, as Lyanna"
Sansa S (Sansa), Lyanna (Lyanna), 90627, "houses, as Lyanna and I might once have done.�  This offer did surprise him. �Sansa"
Robert B (Robert), Sansa S (Sansa), 90652, "might once have done.�  This offer did surprise him. �Sansa is only eleven.�  Robert"
Sansa S (Sansa), Arya S (Arya), 94844, "princes. Arya was paired with plump young Tommen, whose white-blond hair was longer than hers. Sansa"
Sansa S (Sansa), Tommen (Tommen), 94844, "princes. Arya was paired with plump young Tommen, whose white-blond hair was longer than hers. Sansa"
Joffrey B (Joffrey), Sansa S (Sansa), 94893, "whose white-blond hair was longer than hers. Sansa, two years older, drew the crown prince, Joffrey"
Jon S (Jon), Sansa S (Sansa), 94936, "Sansa, two years older, drew the crown prince, Joffrey Baratheon. He was twelve, younger than Jon"
Jon S (Jon), Sansa S (Sansa), 95207, "golden choker and high velvet collar. Sansa looked radiant as she walked beside him, but Jon"
Joffrey B (Joffrey), Sansa S (Sansa), 95228, "velvet collar. Sansa looked radiant as she walked beside him, but Jon did not like Joffrey"
Sansa S (Sansa), Arya S (Arya), 102903, "Rickon would be Robb�s bannermen and rule holdfasts in his name. His sisters Arya and Sansa"
Sansa S (Sansa), Robb S (Robb), 102903, "Rickon would be Robb�s bannermen and rule holdfasts in his name. His sisters Arya and Sansa"
Sansa S (Sansa), Catelyn S (Catelyn), 112131, "Wall to the mountains of Dorne. What is so wrong with that?�  �Gods, Catelyn, Sansa"
Eddard S (Ned), Sansa S (Sansa), 112152, "of Dorne. What is so wrong with that?�  �Gods, Catelyn, Sansa is only eleven,� Ned"
Joffrey B (Joffrey), Sansa S (Sansa), 112171, "is so wrong with that?�  �Gods, Catelyn, Sansa is only eleven,� Ned said. �And Joffrey"
Sansa S (Sansa), Catelyn S (Catelyn), 121075, "me.�  �I could not bear it,� Catelyn said, trembling.  �You must,� he said. �Sansa"
Joffrey B (Joffrey), Sansa S (Sansa), 121092, "could not bear it,� Catelyn said, trembling.  �You must,� he said. �Sansa must wed Joffrey"
Catelyn S (Catelyn), Sansa S (Sansa), 121327, "will be of an age to marry too.�  Sansa would shine in the south, Catelyn"
Arya S (Arya), Sansa S (Sansa), 121375, "Sansa would shine in the south, Catelyn thought to herself, and the gods knew that Arya"
Septa M (Septa), Sansa S (Sansa), 127928, "Sansa�s needlework was exquisite. Everyone said so. �Sansa�s work is as pretty as she is,� Septa"
Rodrik C (Ser Rodrik), Sansa S (Sansa), 128824, "glumly at her sister. Sansa was chatting away happily as she worked. Beth Cassel, Ser Rodrik"
Sansa S (Sansa), Arya S (Arya), 129069, "you talking about?� Arya asked suddenly.  Jeyne gave her a startled look, then giggled. Sansa"
Sansa S (Sansa), Jeyne P (Jeyne), 129069, "you talking about?� Arya asked suddenly.  Jeyne gave her a startled look, then giggled. Sansa"
Arya S (Arya), Sansa S (Sansa), 129133, "startled look, then giggled. Sansa looked abashed. Beth blushed. No one answered.  �Tell me,� Arya"
Jeyne P (Jeyne), Sansa S (Sansa), 129146, "giggled. Sansa looked abashed. Beth blushed. No one answered.  �Tell me,� Arya said.  Jeyne"
Arya S (Arya), Sansa S (Sansa), 129381, "�We were talking about the prince,� Sansa said, her voice soft as a kiss.  Arya"
Joffrey B (Joffrey), Sansa S (Sansa), 129418, "Sansa said, her voice soft as a kiss.  Arya knew which prince she meant: Joffrey"
Sansa S (Sansa), Arya S (Arya), 129460, "kiss.  Arya knew which prince she meant: Joffrey, of course. The tall, handsome one. Sansa"
Sansa S (Sansa), Joffrey B (Joffrey), 129460, "kiss.  Arya knew which prince she meant: Joffrey, of course. The tall, handsome one. Sansa"
Arya S (Arya), Sansa S (Sansa), 129499, "of course. The tall, handsome one. Sansa got to sit with him at the feast. Arya"
Arya S (Arya), Sansa S (Sansa), 129953, "realm.�  Sansa had the grace to blush. She blushed prettily. She did everything prettily, Arya"
Sansa S (Sansa), Arya S (Arya), 130028, "She did everything prettily, Arya thought with dull resentment. �Beth, you shouldn�t make up stories,� Sansa"
Sansa S (Sansa), Arya S (Arya), 130274, "gallant, don�t you think?�  �Jon says he looks like a girl,� Arya said.  Sansa"
Sansa S (Sansa), Jon S (Jon), 130274, "gallant, don�t you think?�  �Jon says he looks like a girl,� Arya said.  Sansa"
