Aggo Encounters:
Aggo (Aggo), Viserys T (Viserys), 757782, "he likes;" Viserys said � in the Common Tongue. He glanced over his shoulder at Aggo"
Rakharo (Rakharo), Aggo (Aggo), 757794, "Viserys said � in the Common Tongue. He glanced over his shoulder at Aggo and Rakharo"
Aggo (Aggo), Drogo (Khal Drogo), 1159568, "Arbor. There is no finer drink."  "Khal Drogo and I will share it together. Aggo"
Aggo (Aggo), Jorah M (Ser Jorah), 1159800, "Jorah had returned until she heard the knight say; "No." His voice was strange; brusque. "Aggo"
Daenerys T (Dany), Aggo (Aggo), 1159843, ""No." His voice was strange; brusque. "Aggo; put down that cask."  Aggo looked at Dany"
Jorah M (Ser Jorah), Aggo (Aggo), 1159880, "put down that cask."  Aggo looked at Dany. She gave a hesitant nod. "Ser Jorah"
Rakharo (Rakharo), Aggo (Aggo), 1162201, "and not her belly.  The trader vaulted over the stall; darting between Aggo and Rakharo"
Quaro (Quaro), Aggo (Aggo), 1162208, "not her belly.  The trader vaulted over the stall; darting between Aggo and Rakharo. Quaro"
Aggo (Aggo), Quaro (Quaro), 1311612, "Laughter turned to curses as the horsemen reached for weapons; but by then Quaro and Aggo"
Rakharo (Rakharo), Aggo (Aggo), 1311624, "to curses as the horsemen reached for weapons; but by then Quaro and Aggo and Rakharo"
Aggo (Aggo), Rakharo (Rakharo), 1311649, "reached for weapons; but by then Quaro and Aggo and Rakharo were there. She saw Aggo"
Aggo (Aggo), Qotho (Qotho), 1317500, "her.  "The khal needs no help from women who lie with sheep;" barked Qotho. "Aggo"
Daenerys T (Dany), Aggo (Aggo), 1317586, "her tongue."  Aggo grabbed her hair and pressed a knife to her throat.  Dany"
Aggo (Aggo), Daenerys T (Dany), 1317641, "her throat.  Dany lifted a hand. "No. She is mine. Let her speak."  Aggo"
Qotho (Qotho), Aggo (Aggo), 1317666, "a hand. "No. She is mine. Let her speak."  Aggo looked from her to Qotho"
Daenerys T (Khaleesi), Aggo (Aggo), 1388151, "A breath of air entered the tent as Aggo poked his head through the silk. "Khaleesi"
Jorah M (Andal), Aggo (Aggo), 1388173, "entered the tent as Aggo poked his head through the silk. "Khaleesi;" he said; "the Andal"
Aggo (Aggo), Quaro (Quaro), 1398673, "is the same. The same."  The stallion kicked and reared as Rakharo; Quaro; and Aggo"
Aggo (Aggo), Rakharo (Rakharo), 1398673, "is the same. The same."  The stallion kicked and reared as Rakharo; Quaro; and Aggo"
Aggo (Aggo), Jhogo (Jhogo), 1401160, "were scattered as far as the eye could see. A hot wind blew. Jhogo and Aggo"
Aggo (Aggo), Cohollo (Cohollo), 1406249, "she screamed; and perhaps the gods heard; for as quick as that; Cohollo was dead. Aggo"
Aggo (Aggo), Doreah (Doreah), 1407600, "Doreah wept. "They are gone; my lord."  "The maegi;" someone else said. Was that Aggo"
Daenerys T (Dany), Aggo (Aggo), 1407636, ""The maegi;" someone else said. Was that Aggo? "Take her to the maegi."  No; Dany"
Aggo (Aggo), Jhogo (Jhogo), 1491243, "fruit and wine and water; and Jhogo moved close to help Ser Jorah support her. Aggo"
Aggo (Aggo), Jorah M (Ser Jorah), 1491243, "fruit and wine and water; and Jhogo moved close to help Ser Jorah support her. Aggo"
Rakharo (Rakharo), Aggo (Aggo), 1491255, "wine and water; and Jhogo moved close to help Ser Jorah support her. Aggo and Rakharo"
Aggo (Aggo), Drogo (Drogo), 1492329, "on the Dothraki sea; where once there was only Drogo's."  "The old remain;" said Aggo"
Aggo (Aggo), Daenerys T (Khaleesi), 1492998, "were done with her; they cut her throat."  "It was her fate; Khaleesi;" said Aggo"
Daenerys T (Dany), Aggo (Aggo), 1493054, "said Aggo.  If I look back I am lost. "It was a cruel fate;" Dany"
Aggo (Aggo), Drogo (Khal Drogo), 1570458, "equal of Khal Drogo's red; but few horses were. In the center of the square; Aggo"
Aggo (Aggo), Ogo (Khal Ogo), 1571651, "arakh he had used to slay Khal Ogo and his son; a mighty dragonbone bow. Aggo"
Drogo (Drogo), Aggo (Aggo), 1571686, "Khal Ogo and his son; a mighty dragonbone bow. Aggo would have added the weapons Drogo"
Daenerys T (Dany), Aggo (Aggo), 1571715, "son; a mighty dragonbone bow. Aggo would have added the weapons Drogo's bloodriders had given Dany"
Daenerys T (Dany), Aggo (Aggo), 1574842, "is not done. It would shame me; to be bloodrider to a woman."  "Aggo;" Dany"
Jhogo (Jhogo), Aggo (Aggo), 1574874, "me; to be bloodrider to a woman."  "Aggo;" Dany called; paying no heed to Jhogo"
Aggo (Aggo), Jhogo (Jhogo), 1579311, "to carry his body to the pyre. The Dothraki watched in silence as Jhogo and Aggo"
Daenerys T (Dany), Aggo (Aggo), 1579340, "pyre. The Dothraki watched in silence as Jhogo and Aggo bore him from the tent. Dany"
Aggo (Aggo), Daenerys T (Dany), 1582112, "She could not have asked for a stronger sign.  Dany took the torch from Aggo"
Rakharo (Rakharo), Aggo (Aggo), 1588262, "the smoking earth. "Blood of my blood;" she heard Aggo echo. "Blood of my blood;" Rakharo"
