Timett Encounters:
Timett (Timett), Conn (Conn), 1193929, "me; and Shagga and Conn for the Stone Crows; Ulf for the Moon Brothers; and Timett"
Timett (Timett), Shagga (Shagga), 1193929, "me; and Shagga and Conn for the Stone Crows; Ulf for the Moon Brothers; and Timett"
Timett (Timett), Bronn (Bronn), 1195822, "sellsword had tugged at his crotch � but even Bronn kept a respectful tongue around Timett"
Kevan L (Kevan), Timett (Timett), 1208464, "announced Timett son of Timett; who had yet to see his twentieth year.  Ser Kevan"
Bronn (Bronn), Timett (Timett), 1209185, "here Timett son of Timett; a red hand of the Burned Men. And this is Bronn"
Timett (Timett), Shagga (Shagga), 1209802, "strongholds; my lords?"  "Horses;" said Shagga.  "A promise of silk and steel;" said Timett"
Tyrion L (Tyrion), Timett (Timett), 1209825, "said Shagga.  "A promise of silk and steel;" said Timett son of Timett.  Tyrion"
Timett (Timett), Tyrion L (Tyrion), 1211987, "them."  Oh; deftly done; Tyrion thought; smiling crookedly.  "The Burned Men fear nothing. Timett"
Timett (Timett), Shagga (Shagga), 1361028, "they were yanking arrows out of Shagga; and showed them four ears she had taken. Timett"
Timett (Timett), Shagga (Shagga), 1515230, "women; they may take what they want and burn the rest."  "Telling Shagga and Timett"
Tyrion L (Tyrion), Timett (Timett), 1515292, ""Telling Shagga and Timett how to pillage is like telling a rooster how to crow;" Tyrion"
