Addam-Marbrand,Addam Marbrand,A Game of Thrones,594,56,Tyrion VII,Tyrion Lannister,Ser Addam Marbrand,Ser,Addam,Marbrand,,,,M,A
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,29,3,Daenerys I,Daenerys Targaryen,King Aegon I Targaryen; The Conqueror/The Dragon,King,Aegon,Targaryen,,The Conqueror/The Dragon,I,M,D
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,227,23,Daenerys III,Daenerys Targaryen,King Aegon III Targaryen; Dragonbane/The Younger,King,Aegon,Targaryen,,Dragonbane/The Younger,III,M,D
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,245,25,Eddard V,Eddard Stark,King Aegon V Targaryen; The Fortunate/The Unlikely,King,Aegon,Targaryen,,The Fortunate/The Unlikely,V,M,D
Aemon,Aemon,A Game of Thrones,172,19,Jon III,Jon Snow,Maester Aemon (Targaryen),Maester,Aemon,,Targaryen,,,M,D
Aemon-Targaryen,Aemon Targaryen,A Game of Thrones,73,8,Bran II,Bran Stark,Prince Aemon Targaryen; The Dragonknight,Prince,Aemon,Targaryen,,The Dragonknight,,M,D
Aerys-Targaryen,Aerys Targaryen,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,King Aerys II Targaryen; The Mad King,King,Aerys,Targaryen,,The Mad King,II,M,D
Aethelmure,Aethelmure,A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,Grand Maester Aethelmure,Grand Maester,Aethelmure,,,,,M,D
Albar-Royce,Albar Royce,A Game of Thrones,405,38,Tyrion V,Tyrion Lannister,Ser Albar Royce,Ser,Albar,Royce,,,,M,A
Albett,Albett,A Game of Thrones,253,26,Jon IV,Jon Snow,Albett,,Albett,,,,,M,A
Alia,Alia,A Game of Thrones,280,28,Catelyn V,Catelyn Tully,Alia; Of Braavos,,Alia,,,Of Braavos,,F,A
Alliser-Thorne,Alliser Thorne,A Game of Thrones,170,19,Jon III,Jon Snow,Ser Alliser Thorne,Ser,Alliser,Thorne,,,,M,U
Alyn,Alyn,A Game of Thrones,104,12,Eddard II,Eddard Stark,Alyn; Guard at Winterfell,,Alyn,,,Guard at Winterfell,,M,D
Alyssa-Arryn,Alyssa Arryn,A Game of Thrones,416,40,Catelyn VII,Catelyn Tully,Alyssa Arryn,,Alyssa,Arryn,,,,F,D
Amory-Lorch,Amory Lorch,A Game of Thrones,744,69,Tyrion IX,Tyrion Lannister,Ser Amory Lorch,Ser,Amory,Lorch,,,,M,D
Andar-Royce,Andar Royce,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Andar Royce,Ser,Andar,Royce,,,,M,A
Andros-Brax,Andros Brax,A Game of Thrones,739,69,Tyrion IX,Tyrion Lannister,Lord Andros Brax,Lord,Andros,Brax,,,,M,D
Anguy,Anguy,A Game of Thrones,306,30,Eddard VII,Eddard Stark,Anguy,,Anguy,,,,,M,U
Anya-Waynwood,Anya Waynwood,A Game of Thrones,405,38,Tyrion V,Tyrion Lannister,Lady Anya Waynwood,Lady,Anya,Waynwood,,,,F,A
Aron-Santagar,Aron Santagar,A Game of Thrones,160,18,Catelyn IV,Catelyn Tully,Ser Aron Santagar,Ser,Aron,Santagar,,,,M,D
Arryk-Cargyll,Arryk Cargyll,A Game of Thrones,73,8,Bran II,Bran Stark,Ser Arryk Cargyll,Ser,Arryk,Cargyll,,,,M,D
Arthur-Dayne,Arthur Dayne,A Game of Thrones,62,6,Catelyn II,Catelyn Tully,Ser Arthur Dayne; Sword of the Morning,Ser,Arthur,Dayne,,Sword of the Morning,,M,D
Arya-Stark,Arya Stark,A Game of Thrones,20,2,Catelyn I,Catelyn Tully,Arya Stark,,Arya,Stark,,,,F,A
Arys-Oakheart,Arys Oakheart,A Game of Thrones,447,43,Eddard XI,Eddard Stark,Ser Arys Oakheart,Ser,Arys,Oakheart,,,,M,D
Ashara-Dayne,Ashara Dayne,A Game of Thrones,62,6,Catelyn II,Catelyn Tully,Lady Ashara Dayne,Lady,Ashara,Dayne,,,,F,D
Ayrmidon,Ayrmidon,A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,Ayrmidon,,Ayrmidon,,,,,M,D
Baelor-Targaryen,Baelor Targaryen,A Game of Thrones,106,12,Eddard II,Eddard Stark,King Baelor I Targaryen; The Blessed,King,Baelor,Targaryen,,The Blessed,I,M,D
Balon-Greyjoy,Balon Greyjoy,A Game of Thrones,37,4,Eddard I,Eddard Stark,Lord Balon Greyjoy,Lord,Balon,Greyjoy,,,,M,D
Balon-Swann,Balon Swann,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Balon Swann,Ser,Balon,Swann,,,,M,A
Barra,Barra,A Game of Thrones,368,35,Eddard IX,Eddard Stark,Barra,,Barra,,,,,F,D
Barristan-Selmy,Barristan Selmy,A Game of Thrones,73,8,Bran II,Bran Stark,Ser Barristan Selmy,Ser,Barristan,Selmy,,,,M,A
Bass,Bass,A Game of Thrones,533,52,Jon VII,Jon Snow,Bass,,Bass,,,,,M,U
Benjen-Stark,Benjen Stark,A Game of Thrones,23,2,Catelyn I,Catelyn Tully,Benjen Stark,,Benjen,Stark,,,,M,U
Beric-Dondarrion,Beric Dondarrion,A Game of Thrones,270,27,Eddard VI,Eddard Stark,Lord Beric Dondarrion; The Lightning Lord,Lord,Beric,Dondarrion,,The Lightning Lord,,M,D
Bessa,Bessa,A Game of Thrones,385,37,Bran V,Bran Stark,Bessa,,Bessa,,,,,F,D
Beth-Cassel,Beth Cassel,A Game of Thrones,64,7,Arya I,Arya Stark,Beth Cassel,,Beth,Cassel,,,,F,A
